"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"3570",0.199875,0.2058025,0.1522,0.060308,0.06763575,0.06799625,0.06488,0.064274,0.05935075,0.0624726666666667,0.07532125,0.1455275
"3572",-0.1745025,-0.185625,-0.126905,-0.0508033333333333,-0.04781025,-0.0368675,-0.0338475,-0.0361275,-0.0336175,-0.04379,-0.0737425,-0.136235
"3674",0,2.77555756156289e-17,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0
"3678",-2.50000000001638e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0
"3687",0.420335,0.41022,0.250075,0.062429,0.07176575,0.07266625,0.0836075,0.0844915,0.08487075,0.0868506666666667,0.16742325,0.36409
"3689",0.206325,0.2127875,0.1518575,0.0537046666666667,0.06752575,0.06780125,0.0649775,0.0658865,0.06032075,0.0632946666666667,0.08711825,0.1564675
"3690",0.2050875,0.2125025,0.1503175,0.054608,0.06752575,0.06780625,0.0649675,0.0657815,0.06024825,0.0624223333333333,0.0939505,0.154955
"3702",0,0,0,0,0,0,0,0,0,0,0,0
"3705",0.02619,0.0228425,0.02614,0.00873466666666668,0.020318,0.03272625,0.033255,0.0288965,0.02595825,0.0188193333333333,-0.000844999999999999,0.0047625
"3706",0,0,0,0,0,0,0,0,0,0,0,0
"3843",0.0302825,0.02958,0.025805,0.0101913333333333,0.0206205,0.03379375,0.03465,0.0295315,0.02617575,0.0188793333333333,-0.0010085,0.00804999999999999
"3844",-0.1766275,-0.184515,-0.12572,-0.0470466666666667,-0.04705475,-0.0342425,-0.0305,-0.035285,-0.0334,-0.0435933333333333,-0.072655,-0.140095
"3954",0.370465,0.33759,0.1875875,0.0250933333333333,0.0216025,0.00749500000000001,0.024425,0.0286925,0.033855,0.0540433333333333,0.16442,0.330805
"3988",0.149885,0.1695575,0.0994925,0.0275933333333333,0.0168925,0.00259,0.006265,0.0072475,0.00691749999999999,0.0213233333333333,0.0546325,0.157855
"4132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4144",-0.1824725,-0.161155,-0.14467,-0.0459433333333333,-0.0475065,-0.0354025,-0.03308,-0.034925,-0.0328175,-0.0438833333333333,-0.069665,-0.135885
"4286",-0.180095,-0.1716675,-0.144665,-0.0446666666666667,-0.047382,-0.0349275,-0.03272,-0.03461,-0.03262,-0.0438966666666667,-0.0688375,-0.13576
"4293",0.02314,0.025825,0.0193425,0.00760133333333333,0.0201815,0.03245375,0.03113,0.028994,0.02666575,0.0185326666666667,-0.000956499999999999,0.0011175
"4395",0.051135,0.0412975,0.0550475,0.0299913333333333,0.05056075,0.06563375,0.0591075,0.0565615,0.05103075,0.040576,0.0088885,0.02986
"4427",0,0,0,0,0,0,0,0,0,0,0,0
"4430",0,0,0,0,0,0,0,0,0,0,0,0
"4432",0,0,0,0,0,0,0,0,0,0,0,0
"4670",0,0,0,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"4848",0,0,0,0,0,0,0,0,0,0,0,0
"5247",0.022545,0.00948750000000001,0.01874,0.01811,0.0279385,0.0250825,0.0174175,0.02179,0.02294,0.0216533333333333,0.0077525,0.0144025
"5249",-0.150585,-0.168725,-0.092145,-0.02827,-0.0171325,-0.00189,-0.0054025,-0.00867,-0.0087525,-0.02161,-0.054145,-0.1060625
"5254",-0.17665,-0.15822,-0.123825,-0.0418566666666667,-0.045419,-0.02801,-0.0243775,-0.0310375,-0.031595,-0.0434766666666667,-0.0681825,-0.11325
"5255",0.1472725,0.15791,0.0923,0.0237766666666667,0.0170375,0.0019925,0.0054175,0.00805,0.0081225,0.0215066666666666,0.05771,0.0906725
"5257",-0.1410475,-0.140235,-0.0926275,-0.0229233333333333,-0.0170025,-0.00202749999999999,-0.0054275,-0.0078525,-0.0078925,-0.0214033333333333,-0.0544825,-0.0876275
"5369",2.49999999998862e-06,-7.50000000002138e-06,0,0,0,0,0,0,0,0,0,0
"5370",0,-4.99999999999112e-06,0,0,0,0,0,0,0,0,0,0
"5400",0,0,0,0,0,0,0,0,0,0,0,0
"5519",0.3667225,0.344335,0.19692,0.02675,0.0217925,0.0076375,0.024065,0.030085,0.03419,0.0454266666666667,0.1423175,0.2979125
"5537",0.19159,0.2042,0.088595,0.00841,0.00734500000000002,0.0052925,0.0180775,0.020425,0.025605,0.0251466666666667,0.071345,0.1570575
"5544",0.029375,0.012865,0.02645,0.01818,0.0285065,0.0261675,0.0200375,0.0232775,0.0235725,0.0223966666666667,0.00919250000000001,0.0206
"5548",0.148005,0.1680425,0.0991275,0.0227433333333333,0.01685,0.00205499999999999,0.0052975,0.007145,0.007055,0.02113,0.0677275,0.1263925
"5561",0.0292566666666667,0.0146175,0.013465,0.02051,0.02956375,0.0281475,0.0236725,0.0255125,0.025405,0.0234866666666667,0.0077975,0.01356
"5562",0,0,0,0,0,0,0,0,0,0,0,0
"5563",0,0,0,0,0,0,0,0,0,0,0,0
"5564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5577",NA,NA,NA,NA,-0.0242836666666667,-0.03683375,-0.03426,-0.031749,-0.030505,NA,NA,NA
"5579",0.03347,0.0225675,0.0259075,0.0209766666666667,0.03087575,0.02888,0.0252825,0.0265975,0.026995,0.02494,0.0098425,0.02104
"5699",0.0336666666666667,0.0136875,0.0147225,0.0187666666666667,0.0292095,0.0273975,0.0227325,0.024805,0.0247775,0.02326,0.007895,0.011155
"5700",0.028705,0.0138725,0.011355,0.0188133333333333,0.029273,0.0274975,0.0229225,0.0249125,0.02488,0.0233233333333333,0.007895,0.01087
"5793",0,2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0
"5797",2.5000000000025e-06,0,0,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"5798",0,-2.5000000000025e-06,2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"5805",0.1724775,0.1684025,0.119005,0.03925,0.0441775,0.02438,0.02048,0.02889,0.0316525,0.0432633333333333,0.0743525,0.1362525
"5806",0,-4.99999999999112e-06,2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"5809",-0.15071,-0.165505,-0.0960975,-0.0296033333333333,-0.01722,-0.00157250000000001,-0.00509749999999999,-0.009205,-0.00916249999999999,-0.0215833333333333,-0.0659525,-0.13937
"5825",0.1769125,0.17518,0.1192475,0.0408066666666667,0.04507925,0.027075,0.0242125,0.0300925,0.03084,0.0437366666666667,0.0724725,0.12544
"5826",0.1480725,0.166865,0.0951375,0.0229066666666667,0.016945,0.00187249999999999,0.00513,0.0076325,0.0077225,0.0217433333333333,0.0653025,0.1190575
"5947",0,0,2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"5953",0.20344,0.2070725,0.1425625,0.0541713333333333,0.06796075,0.06763125,0.0650025,0.0654515,0.06003575,0.0624693333333333,0.07137125,0.1429675
"5954",0,0,0,0,0,0,0,0,0,0,0,0
"5977",0,0,0,0,0,0,0,0,0,0,0,0
"5998",0.0318366666666667,0.0164325,0.00166000000000001,0.0197266666666667,0.03006475,0.0273275,0.02393,0.02523,0.025675,0.02454,0.00793,0.0161333333333333
"6070",-2.50000000001638e-06,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0
"6077",0,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0
"6078",0.21294,0.1793275,0.0943425,0.00640333333333333,0.0045925,0.00637999999999999,0.0187675,0.0204275,0.02421,0.02402,0.084695,0.1942675
"6147",0.025155,0.0200175,0.0389625,0.0197633333333333,0.0304325,0.0267375,0.02376,0.0249625,0.0256975,0.0253166666666667,0.0099125,0.013375
"6227",0.1502125,0.1587325,0.09111,0.0229933333333333,0.0172825,0.00132499999999999,0.004895,0.00962999999999999,0.0092475,0.0216333333333333,0.06694,0.133675
"6244",0,0,0,0,0,0,0,0,0,0,0,0
"6245",0,0,0,0,0,0,0,0,0,0,0,0
"6246",0,0,0,0,0,0,0,0,0,0,0,0
"6247",0,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0,0
"6248",0.149525,0.16672,0.08969,0.0266133333333333,0.01698,0.0016675,0.00491,0.007905,0.0080575,0.0212933333333333,0.0630375,0.1145125
"6261",0.0304975,0.0137325,0.0322025,0.0183833333333333,0.028465,0.02558,0.0209575,0.02317,0.0234825,0.02306,0.00766,0.0173825
"6266",0.0316675,0.01292,0.0304425,0.01856,0.0287875,0.0259775,0.021805,0.0236725,0.0239475,0.0233966666666667,0.008715,0.01909
"6267",0.0269833333333333,0.0130975,0.0271375,0.0186,0.02885,0.02604,0.0219475,0.023765,0.0240425,0.02347,0.0079175,0.0168525
"6276",0,0,0,0,0,0,0,0,0,0,0,0
"6277",0,0,0,0,0,0,0,0,0,0,0,0
"6278",0,0,0,0,0,0,0,0,0,0,0,0
"6385",0,0,0,0,0,0,0,0,0,0,0,0
"6411",0.02375,0.0133025,0.0218825,0.01901,0.02889475,0.025825,0.0220275,0.023665,0.02402,0.0236566666666667,0.005865,-0.0347375
"6414",0.166935,0.179415,0.12032,0.0433533333333333,0.04541275,0.027875,0.0272425,0.0299275,0.029755,0.0440533333333333,0.072705,0.1261975
"6434",0.03076,0.019025,0.0086825,0.00651133333333334,0.02198975,0.04011375,0.036645,0.033684,0.03066075,0.0182493333333333,-0.000341000000000001,0.01308
"6435",0,0,0,0,0,0,0,0,0,0,0,0
"6453",0.169095,0.186545,0.1302875,0.0538033333333333,0.04710525,0.03081,0.0316825,0.0322575,0.02992,0.04449,0.071655,0.12453
"6454",-0.0325175,-0.0292025,-0.019085,-0.0225433333333333,-0.03226325,-0.0289975,-0.027495,-0.0266925,-0.02613,-0.02604,-0.00751,-0.0094875
"6456",0.0079625,0.00796499999999999,0.0239075,0.00513466666666668,0.020721,0.03674375,0.0324475,0.0307965,0.03009575,0.018037,0.00250425,-0.0074275
"6457",0.00843000000000001,0.0072525,0.0241125,0.004898,0.02064525,0.03651375,0.03219,0.0306065,0.03004075,0.0184436666666667,0.0038675,0.000487500000000009
"6499",-2.50000000001638e-06,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"6500",2.50000000001638e-06,2.50000000001638e-06,0,0,0,0,0,0,0,0,0,0
"6501",-7.49999999996587e-06,2.49999999996087e-06,0,0,0,0,0,0,0,0,0,0
"6502",0,2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0
"6503",0.2130675,0.1783975,0.094065,0.00700333333333332,0.00469000000000001,0.0064825,0.01889,0.0210775,0.0243825,0.0239366666666667,0.077395,0.1856725
"6562",0.00933,0.02001,0.013015,0.00906466666666667,0.022524,0.04039125,0.0374825,0.034129,0.03028825,0.018347,-0.001124,0.0040375
"6563",0.1918425,0.196915,0.141565,0.0513446666666667,0.06800575,0.06793125,0.064805,0.0636765,0.05956825,0.062366,0.0702785,0.13857
"6573",0,0,0,0,0,0,0,0,0,0,0,0
"6647",0.1527625,0.1602925,0.096125,0.0241066666666667,0.01728,0.0011225,0.0047225,0.00981249999999999,0.00905999999999999,0.0237666666666667,0.0641,0.130265
"6650",0.3442275,0.34292,0.1779275,0.0344366666666667,0.0222375,0.00762249999999999,0.0237375,0.03124,0.0338625,0.0528066666666667,0.135085,0.2974625
"6654",0.1521225,0.1637125,0.0869925,0.0262833333333333,0.017235,0.0012175,0.004695,0.009335,0.00897000000000001,0.02916,0.0648725,0.13264
"6655",0.149985,0.163625,0.0880575,0.02764,0.01723,0.0012325,0.0046925,0.0092725,0.0089525,0.0287666666666667,0.0684675,0.13537
"6658",0,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"6659",0.14808,0.164655,0.08959,0.02483,0.017185,0.00129750000000001,0.0046875,0.008995,0.008855,0.0214766666666667,0.0565025,0.11849
"6660",0.02262,0.00553999999999999,0.02431,0.0166,0.02659225,0.0222525,0.01593,0.0191425,0.02186,0.0219666666666667,0.0083525,0.0144425
"6735",-0.029685,-0.027525,-0.01319,-0.02225,-0.0318285,-0.0280625,-0.0267225,-0.02604,-0.02543,-0.0260366666666667,-0.008205,0.00401
"6736",0,0,0,0,0,0,0,0,0,0,0,0
"6786",0,-2.50000000001638e-06,0,0,0,0,0,0,0,0,0,-2.49999999998862e-06
"6801",0,0,0,0,0,0,0,0,0,0,0,0
"6802",0.1701925,0.170275,0.1132775,0.04449,0.0436925,0.023445,0.0206325,0.02802,0.0306,0.0432933333333333,0.0708375,0.1210125
"6808",0.1464525,0.16602,0.0891925,0.0281533333333333,0.0170625,0.00137,0.0046325,0.008435,0.00851500000000001,0.0215666666666667,0.0635875,0.1273975
"6809",0.170215,0.17397,0.112695,0.0447,0.0440025,0.024295,0.0217775,0.0284825,0.0302875,0.0435266666666667,0.0713425,0.1308225
"6815",0,0,0,0,0,0,0,0,0,0,0,0
"6818",0.0230625,0.032815,0.017835,0.0110113333333333,0.02371075,0.04232875,0.041495,0.0354865,0.02945325,0.018796,-0.001074,0.0094175
"6819",0.02866,0.0295175,0.0220125,0.0108646666666667,0.02367575,0.04223375,0.0413075,0.035409,0.02946075,0.0187793333333333,-0.0010865,0.0102975
"6821",0.0165675,0.0281225,0.017195,0.0107113333333333,0.02360325,0.04204625,0.0409425,0.035244,0.02949325,0.0187426666666667,-0.000791500000000001,0.00394250000000001
"6824",0.0322525,0.0110375,0.0304575,0.0180866666666667,0.02784,0.024275,0.0197925,0.021975,0.02252,0.0229933333333333,0.007925,0.01123
"6827",0.0309,0.0120625,0.03141,0.0181733333333333,0.0280225,0.0244825,0.020275,0.0222725,0.02274,0.02317,0.0093175,0.017995
"6831",0.02806,0.018225,0.037215,0.01834,0.02827,0.02471,0.02084,0.0226,0.023045,0.0234166666666667,0.00758,0.0149775
"6845",0.043735,0.038065,0.0483925,0.0280013333333333,0.05201075,0.06605625,0.0600975,0.0578165,0.05455825,0.042946,0.00757850000000001,-0.00701
"6921",-2.49999999998862e-06,-5.000000000005e-06,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"6932",0.3354175,0.343735,0.18498,0.0379433333333333,0.02231,0.0075875,0.0236775,0.0315325,0.0336625,0.0528833333333333,0.1472,0.2830525
"6934",0.15139,0.16161,0.0915475,0.02885,0.01722,0.0010875,0.004585,0.00945499999999999,0.00883999999999999,0.0290233333333333,0.0675475,0.1233325
"6939",0.361605,0.353015,0.168465,0.03681,0.0231975,0.00756,0.02356,0.03136,0.03405,0.0534266666666667,0.1461025,0.31768
"6943",0.1469275,0.164105,0.0900575,0.0233333333333333,0.0171475,0.0012175,0.00456500000000001,0.0088825,0.0087175,0.02117,0.05873,0.1130175
"6944",0,0,0,0,0,0,0,0,0,0,0,0
"6961",0.204115,0.1984525,0.137535,0.051968,0.06806825,0.06761875,0.064885,0.0643715,0.05940075,0.0625193333333333,0.0613335,0.11753
"6962",0,0,0,0,0,0,0,0,0,0,0,0
"6970",0.0101175,0.0298125,0.01735,0.0101313333333333,0.02347075,0.04173875,0.039875,0.0349565,0.02978075,0.0186026666666667,-0.00111899999999999,0.00240749999999999
"6971",0.028185,0.0137925,0.030835,0.0182433333333333,0.028065,0.0243925,0.020495,0.0222925,0.022755,0.02335,0.0075625,0.0135975
"6972",0.03341,0.01272,0.03688,0.0182866666666667,0.0281325,0.02444,0.0206325,0.0223675,0.0228325,0.02342,0.00783,0.010325
"6979",0,0,0,0,0,0,0,0,0,0,0,0
"6988",0.03412,0.01501,0.036995,0.0194933333333333,0.02916025,0.0245025,0.021745,0.0228775,0.0236575,0.0248,0.0084775,0.01912
"7084",0.14866,0.1635775,0.089525,0.0262866666666667,0.0171375,0.001165,0.0045075,0.0088975,0.00866749999999999,0.0214333333333333,0.061225,0.117405
"7094",0.04646,0.047455,0.0449975,0.0289213333333333,0.05111325,0.06625625,0.06045,0.056574,0.05126825,0.0414226666666667,0.00769850000000001,0.0202875
"7098",0.0498675,0.05005,0.051095,0.0287146666666667,0.05118075,0.06621375,0.0604075,0.056664,0.05138575,0.041486,0.0073085,0.0257225
"7120",0,0,0,0,0,0,0,0,0,0,0,0
"7121",0,0,0,0,0,0,0,0,0,0,0,0
"7124",0,0,0,0,0,0,0,0,0,0,0,0
"7125",0.026625,0.013625,0.019855,0.0199066666666667,0.02877025,0.02433,0.0214075,0.0226175,0.0232825,0.0243733333333333,-8.50000000000017e-05,-0.017675
"7126",0,0,0,0,0,0,0,0,0,0,0,0
"7127",0,0,0,0,0,0,0,0,0,0,0,0
"7128",0,0,0,0,0,0,0,0,0,0,0,0
"7136",0,0,0,0,0,0,0,0,0,0,0,0
"7239",-0.14561,-0.1656575,-0.08451,-0.02529,-0.0169075,-0.0013075,-0.00446,-0.00796750000000001,-0.0081425,-0.0209966666666667,-0.05871,-0.116705
"7240",0.026435,0.00943999999999999,0.0311825,0.01811,0.027055,0.0230775,0.0181975,0.02067,0.0217325,0.02272,0.00823749999999999,0.0063975
"7263",0.0259025,0.0192975,0.0193,0.00931133333333334,0.0234355,0.04203125,0.03922,0.035164,0.03062575,0.0184273333333333,-0.0018415,0.01188
"7269",0.030695,0.01355,0.0296375,0.0207333333333333,0.02882925,0.02405,0.021335,0.02243,0.023165,0.02471,0.000872500000000002,-0.0132525
"7271",0,0,0,0,0,0,0,0,0,0,0,0
"7272",0,0,0,0,0,0,0,0,0,0,0,0
"7366",0.347675,0.35424,0.1643975,0.03941,0.0241775,0.007465,0.0232175,0.0315325,0.0339575,0.0542366666666667,0.13852,0.307165
"7378",0.177115,0.16707,0.1153525,0.04049,0.0437325,0.023895,0.0220425,0.0283925,0.029905,0.0436433333333333,0.0685,0.128065
"7385",0.191445,0.20166,0.13131,0.0544713333333333,0.06811075,0.06757375,0.0649125,0.064414,0.05942575,0.062526,0.062946,0.128265
"7396",0.1674025,0.17881,0.115485,0.0408966666666667,0.044275,0.0252675,0.02469,0.02875,0.0292225,0.0439966666666667,0.0722925,0.1142475
"7397",0,0,0,0,0,0,0,0,0,0,0,0
"7413",0,0,0,0,0,0,0,0,0,0,0,0
"7513",0.14496,0.1637275,0.086335,0.0222866666666667,0.017025,0.00109,0.0043475,0.008585,0.0084125,0.0209133333333333,0.0668425,0.144515
"7532",0,0,0,0,0,0,0,0,0,0,0,0
"7541",0.1746925,0.1791875,0.1209225,0.04107,0.0442575,0.025165,0.02493,0.028625,0.0289625,0.0440733333333333,0.0746475,0.10844
"7553",0,0,0,0,0,0,0,0,0,0,0,0
"7668",0.0249525,0.0101575,0.0237175,0.0177066666666667,0.0270125,0.022995,0.0187525,0.02089,0.0216475,0.02305,0.0078375,0.00406000000000001
"7669",0.0294275,0.01034,0.02623,0.0177566666666667,0.02707,0.0230625,0.0189025,0.0209675,0.021675,0.0230933333333333,0.0074825,0.0162
"7670",0.031305,0.010475,0.02619,0.0178,0.027125,0.023125,0.0190425,0.0210425,0.0217,0.0231366666666667,0.0074175,0.01539
"7673",0.02649,0.0110825,0.032385,0.0179333333333333,0.0272975,0.0233,0.0194725,0.0212875,0.02182,0.02328,0.0079525,0.007635
"7674",0,0,0,0,0,0,0,0,0,0,0,0
"7675",0.0351025,0.0114125,0.03338,0.01801,0.0274125,0.023405,0.01973,0.0214525,0.0219175,0.0233833333333333,0.00742,0.01484
"7788",0.14981,0.160185,0.085045,0.02193,0.017025,0.000907499999999985,0.00427250000000001,0.0089875,0.0082325,0.0206433333333333,0.0662725,0.1210075
"7819",0.0416,0.01192,0.0366425,0.0181033333333333,0.0274925,0.023405,0.0200275,0.021555,0.0219425,0.0235866666666667,0.0081525,0.01813
"7820",0,0,0,0,0,0,0,0,0,0,0,0
"7821",0.03534,0.01217,0.0361925,0.0181633333333333,0.0276125,0.0234375,0.0202125,0.0216525,0.022025,0.0237166666666667,0.0078675,0.00963
"7927",0,0,0,0,0,0,0,0,0,0,0,0
"7940",0.1448175,0.1634725,0.07839,0.0220966666666667,0.0169075,0.000982499999999997,0.00421000000000001,0.00842999999999999,0.00820749999999999,0.0207,0.0683125,0.1533325
"7946",0.1438225,0.165285,0.0872475,0.0247533333333333,0.01682,0.00104749999999999,0.00421,0.00807499999999999,0.00811000000000001,0.0207133333333333,0.06845,0.1547475
"7961",0.19673,0.20026,0.138195,0.0504946666666667,0.06813325,0.06756875,0.0648925,0.064144,0.05941825,0.062546,0.0722435,0.138555
